R&D Spend,Administration,Marketing Spend,State_Florida,State_New York
-0.4011289247661228,-0.6593240327323,0.029817243429086353,1,0
-0.6097499413683863,-1.3086575295015483,-0.04549315867841802,0,1
0.035370202824963816,0.8217179162739824,-0.6358354945508682,1,0
-0.6006821223137137,1.3105352482185166,-0.0018786179339011432,0,0
0.3967249377970558,-0.258465366758051,0.692992061788785,1,0
1.245056656530228,0.8719800111141446,0.9321859780995744,1,0
1.0171807462012896,1.2691993910695392,0.3757422731918644,1,0
-1.6003503604559541,0.10125393611123483,-1.7273999756732545,0,1
-1.6104333439154124,-2.5094088368614447,-1.743126975815244,0,1
-0.17860854033245227,1.1424567667457448,-0.858133663312941,0,1
0.897913122895197,0.04586785346643834,0.41921870200875044,0,1
-0.2580743687669209,-0.2056286591320106,-0.9903571657803866,1,0
-0.22694867549050335,0.28392381291480695,-1.3624497800708546,0,0
0.09444119571251268,0.009118419682416482,0.4404462244359869,0,0
-1.1021055579535233,-0.9069375345894103,-0.5205959594519419,0,0
0.055726086691925796,-0.26958765072829755,0.7239259946706323,0,0
-1.2811336408890233,0.21768152447312547,-1.4496046842207662,0,1
1.0303688607579797,0.9869521013922115,0.8308869091888104,0,1
0.4020776028344736,0.5101789529969027,0.34395678776100613,0,0
-0.19931168832921076,0.6564891392487076,-0.6035167252654742,0,0
1.2798000145910104,-0.7762390705391569,1.254210457936233,0,1
0.46072012724248235,0.8556663184470973,0.5910167235290299,0,1
-0.9895770154121737,-0.10090021798884821,-0.31578588311480554,0,0
-1.6223620208201215,-0.15722550611007818,-1.3699847273953474,0,0
1.9558603364325031,1.0828065830760816,1.9236003956421444,0,0
0.443259871651734,0.21544906370150346,0.32061744144512827,1,0
-0.6525323099877709,-2.5259940157948084,-0.11560825594840005,0,0
0.07311460077043454,-0.7954691674668067,-0.5819392972608189,0,1
1.3400664059278973,0.932147208470259,-0.6881499302965385,0,0
-0.1362007240254339,-0.5622112680876802,0.7743489082686847,1,0
-0.9915701530696953,0.2059246909295494,-0.08176257339610711,1,0
0.10272359925435613,1.1691860859036491,0.7327877912137453,0,1
0.279441649508946,1.1598365748038906,-1.743126975815244,0,1
1.0918192071128048,-0.45664024606220516,0.7761074398639789,0,0
-0.7738203591339543,-1.3831215613922077,-0.2975832762317313,0,0
-1.5934132203015927,-0.19932174112845982,0.7111224738005981,1,0
1.5547836905426,-0.09636463069766506,1.4222102362410112,0,1
2.016411493158463,0.560752914530775,2.153943088571744,0,1
-1.6223620208201215,0.5077218760979036,-1.743126975815244,0,0
-1.134305393319635,1.2064193637373355,-1.509074176887117,0,0
